"","ensembl_gene_id","external_gene_name","transcript_biotype"
"402","ENSG00000278468","MUC4","protein_coding"
"403","ENSG00000276798","LILRA4","protein_coding"
"404","ENSG00000234100","OR14J1","protein_coding"
"405","ENSG00000275102","OR2T5","protein_coding"
"406","ENSG00000275349","SMN1","protein_coding"
"407","ENSG00000237258","OR11A1","protein_coding"
"408","ENSG00000239741","LY6G6F","protein_coding"
"409","ENSG00000274254","KIR3DL3","protein_coding"
"410","ENSG00000276163","LAIR1","protein_coding"
"411","ENSG00000231094","PSORS1C1","protein_coding"
"412","ENSG00000277753","MUC20","protein_coding"
"413","ENSG00000281038","OR8U9","protein_coding"
"414","ENSG00000262315","OR8U8","protein_coding"
"415","ENSG00000261897","OR5T3","protein_coding"
"416","ENSG00000274402","KIR2DL3","protein_coding"
"417","ENSG00000228652","OR2W1","protein_coding"
"418","ENSG00000261893","CLK2","protein_coding"
"419","ENSG00000262851","OR5T2","protein_coding"
"420","ENSG00000236560","PPP1R11","protein_coding"
"421","ENSG00000262611","OR8H1","protein_coding"
"422","ENSG00000275581","SERF1A","protein_coding"
"423","ENSG00000274971","","protein_coding"
"424","ENSG00000275731","KIR2DS4","protein_coding"
"425","ENSG00000278303","MUC4","protein_coding"
"426","ENSG00000262784","OR5T1","protein_coding"
"427","ENSG00000278489","KRTAP5-2","protein_coding"
"428","ENSG00000275486","KIR3DL1","protein_coding"
"429","ENSG00000273494","PANK4","protein_coding"
"430","ENSG00000263328","OR8K1","protein_coding"
"431","ENSG00000262796","OR8J1","protein_coding"
"432","ENSG00000275920","KRTAP5-3","protein_coding"
"433","ENSG00000277068","KRTAP5-4","protein_coding"
"434","ENSG00000184494","NEU1","protein_coding"
"435","ENSG00000278210","KRTAP5-1","protein_coding"
"436","ENSG00000277291","KRTAP5-5","protein_coding"
"437","ENSG00000276536","HRAS","protein_coding"
"438","ENSG00000223687","ZNF311","protein_coding"
"439","ENSG00000273748","","protein_coding"
"440","ENSG00000273793","DUSP8","protein_coding"
"441","ENSG00000206470","MAS1L","protein_coding"
"442","ENSG00000223448","LTB","protein_coding"
"443","ENSG00000206467","OR2H2","protein_coding"
"444","ENSG00000276565","","protein_coding"
"445","ENSG00000237634","LINC01556","protein_coding"
"446","ENSG00000231257","ATAT1","protein_coding"
"447","ENSG00000235487","PSORS1C1","protein_coding"
"448","ENSG00000235754","APOM","protein_coding"
"449","ENSG00000276848","KIR3DX1","protein_coding"
"450","ENSG00000223852","ZFP57","protein_coding"
"451","ENSG00000232178","OR2J3","protein_coding"
"452","ENSG00000274513","LILRB2","protein_coding"
"453","ENSG00000274646","RPS9","protein_coding"
"454","ENSG00000229470","GNL1","protein_coding"
"455","ENSG00000230995","PPP1R10","protein_coding"
"456","ENSG00000262785","PKLR","protein_coding"
"457","ENSG00000231319","OR2B3","protein_coding"
"458","ENSG00000273984","MUC4","protein_coding"
"459","ENSG00000231041","LINC01556","protein_coding"
"460","ENSG00000137394","TRIM10","protein_coding"
"461","ENSG00000239836","PSMB9","protein_coding"
"462","ENSG00000276066","VSTM1","protein_coding"
"463","ENSG00000275118","MBOAT7","protein_coding"
"464","ENSG00000260873","SNTB2","protein_coding"
"465","ENSG00000276429","PLCH2","protein_coding"
"466","ENSG00000262788","UTP4","protein_coding"
"467","ENSG00000273859","RASSF7","protein_coding"
"468","ENSG00000233312","C4B_2","protein_coding"
"469","ENSG00000275083","KIR3DL2","protein_coding"
"470","ENSG00000276139","KIR2DS2","protein_coding"
"471","ENSG00000274146","KIR3DL1","protein_coding"
"472","ENSG00000278384","","protein_coding"
"473","ENSG00000263290","SCAMP3","protein_coding"
"474","ENSG00000206450","HLA-B","protein_coding"
"475","ENSG00000237051","GABBR1","protein_coding"
"476","ENSG00000274084","LAIR2","protein_coding"
"477","ENSG00000273572","CDHR5","protein_coding"
"478","ENSG00000233813","MRPS18B","protein_coding"
"479","ENSG00000226858","ZFP57","protein_coding"
"480","ENSG00000273529","HES5","protein_coding"
"481","ENSG00000278555","LILRB4","protein_coding"
"482","ENSG00000274638","NLRP2","protein_coding"
"483","ENSG00000278300","KIR2DS2","protein_coding"
"484","ENSG00000275125","PRXL2B","protein_coding"
"485","ENSG00000263238","CTSO","protein_coding"
"486","ENSG00000262446","GBA1","protein_coding"
"487","ENSG00000278216","UGT2A3","protein_coding"
"488","ENSG00000236843","NRM","protein_coding"
"489","ENSG00000274941","CNOT3","protein_coding"
"490","ENSG00000276979","KIR2DL4","protein_coding"
"491","ENSG00000262505","ASIC5","protein_coding"
"492","ENSG00000275333","FAM120B","protein_coding"
"493","ENSG00000262635","TDO2","protein_coding"
"494","ENSG00000276061","NDUFA3","protein_coding"
"495","ENSG00000275190","UGT2B10","protein_coding"
"496","ENSG00000231325","LY6G5C","protein_coding"
"497","ENSG00000275584","LILRA6","protein_coding"
"498","ENSG00000277132","UGT2B15","protein_coding"
"499","ENSG00000277400","","protein_coding"
"500","ENSG00000237724","HSPA1A","protein_coding"
"501","ENSG00000274058","TMPRSS11E","protein_coding"
"502","ENSG00000274847","MAFIP","protein_coding"
"503","ENSG00000276628","LENG1","protein_coding"
"504","ENSG00000276766","NDUFA3","protein_coding"
"505","ENSG00000278490","KIR3DL3","protein_coding"
"506","ENSG00000273506","","protein_coding"
"507","ENSG00000236251","HSPA1L","protein_coding"
"508","ENSG00000231488","ABHD16A","protein_coding"
"509","ENSG00000233490","GPSM3","protein_coding"
"510","ENSG00000236250","STK19","protein_coding"
"511","ENSG00000278270","RPS9","protein_coding"
"512","ENSG00000276452","LILRB1","protein_coding"
"513","ENSG00000275272","YTHDC1","protein_coding"
"514","ENSG00000274473","SCT","protein_coding"
"515","ENSG00000274511","KIR3DL3","protein_coding"
"516","ENSG00000282367","PTDSS2","protein_coding"
"517","ENSG00000274905","TMC4","protein_coding"
"518","ENSG00000275555","DLL1","protein_coding"
"519","ENSG00000278355","LILRA5","protein_coding"
"520","ENSG00000234101","OR2W1","protein_coding"
"521","ENSG00000277076","KIR2DL4","protein_coding"
"522","ENSG00000236826","LSM2","protein_coding"
"523","ENSG00000276341","RDH13","protein_coding"
"524","ENSG00000274078","TSEN34","protein_coding"
"525","ENSG00000226463","OR2W1","protein_coding"
"526","ENSG00000274185","LILRA4","protein_coding"
"527","ENSG00000263324","HCN3","protein_coding"
"528","ENSG00000236927","OR14J1","protein_coding"
"529","ENSG00000234495","TRIM27","protein_coding"
"530","ENSG00000248496","ZBED9","protein_coding"
"531","ENSG00000277359","RPS9","protein_coding"
"532","ENSG00000274000","LILRA2","protein_coding"
"533","ENSG00000235966","OR12D2","protein_coding"
"534","ENSG00000262666","ENTREP3","protein_coding"
"535","ENSG00000233046","OR5V1","protein_coding"
"536","ENSG00000278154","LAIR1","protein_coding"
"537","ENSG00000278362","NCR1","protein_coding"
